full_date,date_id,year,quarter,month,is_post_covid,date_changed,rate
1997-01-01,199701,1997,1,1,False,1996-10-30,5.94
1997-02-01,199702,1997,1,2,False,1996-10-30,5.94
1997-03-01,199703,1997,1,3,False,1996-10-30,5.94
1997-04-01,199704,1997,2,4,False,1996-10-30,5.94
1997-05-01,199705,1997,2,5,False,1996-10-30,5.94
1997-06-01,199706,1997,2,6,False,1997-05-06,6.25
1997-07-01,199707,1997,3,7,False,1997-06-06,6.5
1997-08-01,199708,1997,3,8,False,1997-07-10,6.75
1997-09-01,199709,1997,3,9,False,1997-08-07,7.0
1997-10-01,199710,1997,4,10,False,1997-08-07,7.0
1997-11-01,199711,1997,4,11,False,1997-08-07,7.0
1997-12-01,199712,1997,4,12,False,1997-11-06,7.25
1998-01-01,199801,1998,1,1,False,1997-11-06,7.25
1998-02-01,199802,1998,1,2,False,1997-11-06,7.25
1998-03-01,199803,1998,1,3,False,1997-11-06,7.25
1998-04-01,199804,1998,2,4,False,1997-11-06,7.25
1998-05-01,199805,1998,2,5,False,1997-11-06,7.25
1998-06-01,199806,1998,2,6,False,1997-11-06,7.25
1998-07-01,199807,1998,3,7,False,1998-06-04,7.5
1998-08-01,199808,1998,3,8,False,1998-06-04,7.5
1998-09-01,199809,1998,3,9,False,1998-06-04,7.5
1998-10-01,199810,1998,4,10,False,1998-06-04,7.5
1998-11-01,199811,1998,4,11,False,1998-10-08,7.25
1998-12-01,199812,1998,4,12,False,1998-11-05,6.75
1999-01-01,199901,1999,1,1,False,1998-12-10,6.25
1999-02-01,199902,1999,1,2,False,1999-01-07,6.0
1999-03-01,199903,1999,1,3,False,1999-02-04,5.5
1999-04-01,199904,1999,2,4,False,1999-02-04,5.5
1999-05-01,199905,1999,2,5,False,1999-04-08,5.25
1999-06-01,199906,1999,2,6,False,1999-04-08,5.25
1999-07-01,199907,1999,3,7,False,1999-06-10,5.0
1999-08-01,199908,1999,3,8,False,1999-06-10,5.0
1999-09-01,199909,1999,3,9,False,1999-06-10,5.0
1999-10-01,199910,1999,4,10,False,1999-09-08,5.25
1999-11-01,199911,1999,4,11,False,1999-09-08,5.25
1999-12-01,199912,1999,4,12,False,1999-11-04,5.5
2000-01-01,200001,2000,1,1,False,1999-11-04,5.5
2000-02-01,200002,2000,1,2,False,2000-01-13,5.75
2000-03-01,200003,2000,1,3,False,2000-02-10,6.0
2000-04-01,200004,2000,2,4,False,2000-02-10,6.0
2000-05-01,200005,2000,2,5,False,2000-02-10,6.0
2000-06-01,200006,2000,2,6,False,2000-02-10,6.0
2000-07-01,200007,2000,3,7,False,2000-02-10,6.0
2000-08-01,200008,2000,3,8,False,2000-02-10,6.0
2000-09-01,200009,2000,3,9,False,2000-02-10,6.0
2000-10-01,200010,2000,4,10,False,2000-02-10,6.0
2000-11-01,200011,2000,4,11,False,2000-02-10,6.0
2000-12-01,200012,2000,4,12,False,2000-02-10,6.0
2001-01-01,200101,2001,1,1,False,2000-02-10,6.0
2001-02-01,200102,2001,1,2,False,2000-02-10,6.0
2001-03-01,200103,2001,1,3,False,2001-02-08,5.75
2001-04-01,200104,2001,2,4,False,2001-02-08,5.75
2001-05-01,200105,2001,2,5,False,2001-04-05,5.5
2001-06-01,200106,2001,2,6,False,2001-05-10,5.25
2001-07-01,200107,2001,3,7,False,2001-05-10,5.25
2001-08-01,200108,2001,3,8,False,2001-05-10,5.25
2001-09-01,200109,2001,3,9,False,2001-08-02,5.0
2001-10-01,200110,2001,4,10,False,2001-09-18,4.75
2001-11-01,200111,2001,4,11,False,2001-10-04,4.5
2001-12-01,200112,2001,4,12,False,2001-11-08,4.0
2002-01-01,200201,2002,1,1,False,2001-11-08,4.0
2002-02-01,200202,2002,1,2,False,2001-11-08,4.0
2002-03-01,200203,2002,1,3,False,2001-11-08,4.0
2002-04-01,200204,2002,2,4,False,2001-11-08,4.0
2002-05-01,200205,2002,2,5,False,2001-11-08,4.0
2002-06-01,200206,2002,2,6,False,2001-11-08,4.0
2002-07-01,200207,2002,3,7,False,2001-11-08,4.0
2002-08-01,200208,2002,3,8,False,2001-11-08,4.0
2002-09-01,200209,2002,3,9,False,2001-11-08,4.0
2002-10-01,200210,2002,4,10,False,2001-11-08,4.0
2002-11-01,200211,2002,4,11,False,2001-11-08,4.0
